,FID,NomeEstaca,CodEstacao,Bacia,SubBacia,Operadora,Responsave,Municipio_,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEsta,COMID,new_COMID,watershed,subbasin,RT2y,RT5y,RT10y,RT25y,RT50y,RT100y
0,0,TABATINGA,10100000,1,10,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,TABATINGA-AM,-4.2347,-69.9447,78,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,147604,9039635,south_america,geoglows,53889.864415748874,57219.537662395225,59424.07107610407,62209.504888429976,64275.898810418905,66327.03480405148
1,1,PALMEIRAS DO JAVARI,10200000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-5.1389,-72.81359999999998,142,10900000,RIO JAVARI,RHN,Ativo,149152,9043285,south_america,geoglows,1290.0900214901333,1389.3549681480736,1455.0770001636365,1538.1169618410297,1599.720749133708,1660.869663731016
2,2,ESTIRAO DO REPOUSO,10500000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-4.3408,-70.9056,89,10900000,RIO JAVARI,RHN,Ativo,147680,9039819,south_america,geoglows,4536.8932074820705,4990.275215658869,5290.453555142139,5669.729682836601,5951.098380794962,6230.389496454282
3,3,LADARIO - JUSANTE,10910000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-4.5836,-70.2644,91,10940000,RIO ITACUAI,RHN,Ativo,148224,9041015,south_america,geoglows,3266.977279112083,3676.6745938107947,3947.929865080969,4290.661619414618,4544.919613589062,4797.300206645613
4,4,SAO PAULO DE OLIVENCA,11400000,1,11,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,SAO PAULO DE OLIVENCA-AM,-3.4569,-68.9119,71,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,145872,9035798,south_america,geoglows,68222.40094964854,74796.69830664972,79149.4552054729,84649.17508607081,88729.18146914101,92779.06172552067
5,5,SANTO ANTONIO DO ICA,11500000,1,11,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,SANTO ANTONIO DO ICA-AM,-3.1017,-67.9356,53,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,145251,9034355,south_america,geoglows,83370.39364884855,91679.03815102928,97180.08377048587,104130.6694936585,109287.01104055521,114405.27897086495
6,6,COLOCACAO CAXIAS NOVO,12100000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JUTAI-AM,-4.6514,-68.3244,0,12103000,RIO JUTAI,RHN,Ativo,148348,9041357,south_america,geoglows,1106.5952134493243,1307.2575883554703,1440.1135407526979,1607.977388800897,1732.50838063187,1856.1198551668983
7,7,PORTO SEGURO,12240000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JUTAI-AM,-3.3372,-67.4917,0,12103000,RIO JUTAI,RHN,Ativo,145803,9035654,south_america,geoglows,3902.481911044516,4216.233762820226,4423.964789145176,4686.433491591026,4881.147768787776,5074.42430632617
8,8,FONTE BOA,12351000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,FONTE BOA-AM,-2.4914,-66.0617,0,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,144429,9032035,south_america,geoglows,107133.6764679985,121718.85559800357,131375.5132803783,143576.725861362,152628.28235739903,161613.0035810998
9,9,THAUMATURGO,12370000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,MARECHAL THAUMATURGO-AC,-8.9458,-72.7847,0,12200000,RIO JURUA,RHN,Ativo,156573,9060283,south_america,geoglows,2231.221490123146,2562.648605530507,2782.082194355047,3059.3371155420195,3265.0206544748225,3469.1854584424655
